index,conated_comments,polarity_emotions,polarity_emotions_ID
35,සිරීපාදෙත් කරුණා කරල නම්බරෙත් නොදී මෙහෙම බැහැපුවාම තමයි ආදරේ තියෙන්නෙ මචං ඒ මතකය කවදාවත්ම අමතක නොවී තියේවි හැබැයි මේ දෙන්න නම්බරයක් හරි දීල දිගටම මේ සම්බන්ධෙ තිබ්බනම් සමහරවිට මෙතන තිබුන සුන්දර ආදරේ පස්සෙ නැති වේවි හිමිවීමම නෙමෙයි බං ආදරේ කියන්නෙ නියම ආදරේ තිබුනෙ හිමි නොවිච්ච තැන්වල         purple_heart  purple_heart , neutral love,2
36,අනේ ගොඩාක් හිතට වැදුනා සින්දුව ඒ වගේම වීඩියෝ එක ගොඩාක් දුකයි ඒ දෙන්නා එකතු උනා නම් කොච්චර ලස්සනද      red_heart, neutral love,2
37, ඔබව සබ්ක්රයිබ් කලා මාවත් සබ්ක්රයිබ් කරන්නthumbs_up thumbs_up ud ud, neutral joy,5
38,එදා  ඒක ලස්සනම ලස්සන මතකයක් සින්දුව  seenoevil_monkey smiling_face_with_hearteyes two_hearts     fire, positive joy,4
39,වෙනම ලෝකයකට යනවා මේක අහද්දී   කටහඬත් ඒ වගේ මාර හැඟීම් ගොඩක් එක පාර දෙන්න පුලුවන්දවසට එකපාරක් හරි අහනවමයි  ආයේ ආයේ අහන්න හිතෙනවාsmiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes  red_heart , neutral love,2
40,මගෙ හිත ඔය කෙස් කළඹේ පැටලීලාred_heart , neutral love,2
41,මේ මාගේ කතාව දැයි සැකයක් මතු උනාgrimacing_face grimacing_face, neutral sad,1
42,හිතට දැනුන සින්දුවක් බන්   smiling_face_with_hearteyes, neutral love,2
43,සිරීපාදෙ ගියපු ගොඩක් අයට අමතක කරන්න බැරි මේ අත්දැකීම ඇතිslightly_smiling_face red_heart , neutral joy,5
44,නියමය්    smiling_face_with_hearteyes _hand, positive joy,4
45,පැහැදිලි වොයිස් එකක්  ලස්සන නිර්මාණයක්  වීඩියෝ එකත් ගති  සෝක්            smiling_face_with_hearteyes, positive joy,4
46,අවුරුදු ක් තිස්සේ තාමත් අහනවා pleading_face red_heart fire, neutral love,2
47,එයා දැන් කොහේ ඇතිද red_heart, neutral love,2
48,අම්මෝ මේ සින්දුවෙ ලස්සන   smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes two_hearts, positive love,0
49,අදටත් හොයනව කවුද ඒ කියල ටෝ එකක් විතරමයි තියෙන්නෙ ඒකත් ක්ලිය නැති එකක්     sad_but_relieved_face sad_but_relieved_face, neutral sad,1
50,මගේ හිත මේ සිංදුවේ නැවතීලා යලි ලිහාගන්න බැරුවා heart_suit heart_suit, neutral love,2
51,ශ්රී පාදය වන්දනා කරන්න ගියාම ඔය අත්දැකීම් අනිවාර්යයෙන්ම හම්බෙනවud beaming_face_with_smiling_eyes, neutral joy,5
52, පාරක් දැනට සීරීපාදේ කරුනා කලා මං කෙල්ලෙක් දිහා බැලුවොත් මිසක් කෙල්ලෙක් මං දිහා ඇහැක් ඇරලා බැලුවේ නෑ දෙයියනේ ඉස්සරහටවත් බලමුකෝ face_with_rolling_eyes neutral_face, neutral sad,1
53,සැබෑ වෙනසක් බ්රෝ ud face_blowing_a_kiss face_blowing_a_kiss, neutral love,2
54,ගොඩක්  ලස්සන  සිංදුවක් sparkling_heart sparkling_heart, positive joy,4
55,මාරම සිදුවීමක් මෙය කලාතුරකින් දක්නට ලැබෙන ආදරණීය වීඩියෝවක්  smiling_face_with_hearteyes, positive joy,4
56,මතක් උනා ඒ දවස  ඒත් පට්ටම  දුකයි  crying_face, neutral sad,1
57,මේ වගේ ස්ථාන වල තමයි සිංදුවකට උනත් විශුවල් එකක් කරන්න ඕනෙ මොකද කියනවනම් නියම සංගීත රසයක් තියෙන ලෝකෙ වටේම ඉන්න මිනිස්සු මේක බැලුවම මේ ස්ථානය ගැන හොයන්න ගන්නවා එක්පාරක් සිරීපාදෙ ගිහින් තියෙන කෙනෙක්ට උනත් ආයෙම යන්න ආස හිතෙනවා මේ අත්දැකීම විඳපු අය කොච්චර නම් ඇතිද  මාර ලස්සන සිංදුවක් මේක ඇස් දෙක වහගෙන ඇහුවොත් මැවෙන්නෙ වෙනම විශුවල් එකක්    red_heart   , neutral love,2
58,තාමත් එ මතකයට ආදරෙයි smiling_face_with_hearts, positive love,0
59,කොල්ටී වැඩේ  face_savoring_food smiling_face_with_sunglasses, positive love,0
60,අම්ම්මෝ හාට් එක තාමත් ඩඩ් ඩඩ් ගානවා ඒ දවස අමතක වෙන්නේ නෑ වැටෙන්න ගිය හැටි එයා මාව අල්ලගත්තු  හැටි ඊට පස්සේ අර අවසානම තේ බොන තැන තුරුල් උන හැටි ඊට පස්සේ වදින තැන ඊට  පස්සේ ඌ ගිය ගියා මයි අද වෙනකම් දැක්කේ නෑ ඒත් ඒ දවස ශ්රී පාදය කියද්දිනුත් ඇග සීතල වෙනවාud bouquet, neutral joy,5
61,සිරීපාදෙ වන්දනා කරපු හැම කොල්ලෙක්ටම ඔහොම අත්දැකීමක් තියෙනවා අනිවා   red_heart _hand smiling_face_with_hearteyes, neutral joy,5
62,මගෙ හිත ඔය කෙස් කලඹේ පැටලීලා balloon balloon thumbs_up thumbs_up, neutral joy,5
63,මහගිරිදඹේ පාමුල දන්සලෙන් මා එක්ක බත් කාපු ඒ ලස්සන හදවත අද මගෙ අනාගතේ        beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes smiling_face_with_sunglasses red_heart, neutral joy,5
64,කියන්ඩ වචන නෑperson_getting_massage light_skin_tone ud male_sign , positive joy,4
65,ඇයි බූතයෝ නම්බර් එක දුන් නැත්තේ බලපම්sad_but_relieved_face sad_but_relieved_face, negative sad,3
66,කාලෙකින් ආපහු අහන්න ගත්තා _hand _hand _hand _hand, neutral joy,5
67,සැබැ ආදරෙ හමූවීමත් එ වගෙ ලස්සන විදියකට ලැබුනිත්සුපිරි මචං වචන නැ   flexed_biceps flexed_biceps smiling_face_with_hearteyes, positive joy,4
68,නාද ගමෙන් සිංදුව ඇහුවට පස්සේ ආයේ අහන්නේ සිරිපා ගිහින් මෙහෙම අත්දැකීමක් නෑ හැබැයි වෙන තැනක මේ හා සමාන අත්දැකීමක් තියෙනවා ඉතින් රසවිඳින්න අව්ලක් නෑ   relieved_face, neutral joy,5
69,සිරීපාදෙදි මන් කෙනෙක්ව ප්රාර්ථනා කලාහම්බුනා ud  upsidedown_face, neutral joy,5
70,විඩියෝ එක ඒ සින්දුව කියලා වැඩක් නෑ සුපිරි ශ්රී පාදේ යන හැම වතාවකම මතක් වෙනවා මේ සින්දුව ඒ තරම් හිතට දැනුන සින්දුවක් වගේ වීඩියෝ එකක්      ud     purple_heart  red_heart    , positive joy,4
71,කොච්චර අදර කතා තියෙන්න ඇතිද මෙහෙම red_heart , neutral love,2
72,සිංදුවට වඩා විශුවල් එකට හිත ගියාsmiling_face_with_hearts smiling_face_with_hearts smiling_face_with_hearts, neutral love,2
73,කලාතුරකින් පිපෙන මලේ                 black_heart black_heart black_heart, neutral love,2
74,සිරිපාදේ ගිය හැමෝටම මේ වගේ ලස්සන අත්දැකිමක් තියෙනව යred_heart  red_heart  smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes, neutral joy,5
75,හ්ම්  මතකslightly_smiling_face red_heart , neutral joy,5
76, ගොඩාක් ලස්සනයි   සිරී පාදේ ගිහින් නෑ යන්න ආසාවෙන්ම ඉන්න තැන fire fire fire fire fire fire fire fire fire smiling_face_with_hearts smiling_face_with_hearts smiling_face_with_hearts smiling_face_with_hearteyes smiling_face_with_hearteyes red_heart    red_heart, positive joy,4
77,සිරීපාදෙ යන්න ඕනි face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy, neutral joy,5
78,මටත් වුනාsad_but_relieved_face sad_but_relieved_face, neutral sad,1
79,අවසානය නම් එපා වුනා crying_face crying_face, negative sad,3
80,සුපිරි වීඩියෝ එකක්  red_heart , positive love,0
81,මටත් මේ වගේ කතාවක් තියෙනවා smiling_face_with_hearteyes smiling_face_with_hearteyes, neutral joy,5
82,අනේ ලස්සනයි pleading_face smiling_face_with_hearts smiling_face_with_hearts, positive love,0
83,කෝ red_heart, neutral love,2
84,ඒ කෙල්ලගෙ වොයිස් එක red_heart  ud fire, neutral love,2
85,කාරි නෑ සද එකට පස්සෙ පිස්සුවක් වෙන එකක් heart_suit  victory_hand , neutral joy,5
86,භාවනාවක් red_heart , positive love,0
87,ඒ වොයිස් එක smiling_face_with_hearteyes, neutral love,2
88,වාව් මේ සිංදුවනම් මාරයි purple_heart  red_heart musical_notes, positive joy,4
89,තනියම ගහලා තියන මැච් එක මරු වැඩ්ඩෙක් red_heart, positive love,0
90,මේ නිර්මාණය හිතට දැනෙන විදිහ විස්තර කරන්න අමාරුයි ඒ තරම්ම දැනෙන  ලස්සන වැඩක් ඉසුරු විතානගේ කියන්නේ ලංකාවේ සංගීතය වෙනසක් කරන්න පුලුවන් කෙනෙක් කියලා ආයෙ ආයෙම මේ වැඩෙන් ඔප්පු වෙනවා ඒත් එක්කම ගයනා ලෙව්කේටම ආවේනික උණ මේ ගායන විලාසයත් මේ නිර්මාණෙට අමුතුම හැඩයක් ගෙනල්ලා තියනවා ඉතින් මේ වැඩේට මහන්සි උන හැමෝටම ජය ශ්රී      ud  smiling_face_with_halo four_leaf_clover, positive joy,4
91,ගායනා smiling_face_with_hearteyes, neutral love,2
92,ලස්සනයි එක red_heart  red_heart  red_heart , positive love,0
93,ඒක ලස්සනයි red_heart , positive love,0
94,ගායනා නංගී ඔයානම් සුපිරියක් ඔයාගේ කටහඩ පට්ට ඉස්සරහට තව වැඩ කරන්න අපි අසාවෙන් බලන් ඉන්නවා ජය           red_heart, positive love,0
95,සිංදු එනකන් බලාගෙන හිටිය අය  දාගෙනයන්thumbs_up, neutral joy,5
96,කනට මීපැණි smiling_face_with_hearteyes, positive love,0
97,සුපිරි වැඩක් ලස්සනයි heart_suit  smiling_face_with_hearteyes, positive love,0
98,ගයනා අක්කගෙ වොයිස් එකනම් හිත නිවන භාවනාවක් smiling_face_with_smiling_eyes red_heart , positive joy,4
99,රාජිගේ වචන  ගායනාගේ කටහඬ උබේ මෙලඩිය සහ වීඩියෝ එක එකිනෙකට මාරම විදිහට ගැලපෙනවා මචන් ආල අඩව්වට නොදෙවෙනියි වැහිදාක ඉසුරුවෝ සුභ පැතුම් සහ මේක අනිවා ආල අඩව්ව රෙකෝඩ් එක කඩනවා heart_suit heart_suit heart_suit  smiling_face_with_halo starstruck  starstruck raising_hands heart_suit, neutral joy,5
100,පට්ට red_heart  fire musical_notes, positive joy,4
101,මම තාම තරු ගාව ඇස් හොයනවා    pleading_face red_heart , neutral love,2
102,නිදි වාගේ හිටියාට එලිවෙන තුරුම ඇස් තෙමුවා   ඒ සිංදුව එනකම් බලන් හිටියා කාලයක්    heart_suit  heart_suit  smiling_face_with_hearteyes, neutral love,2
103,හරිම ලස්සනයිpleading_face smiling_face_with_hearteyes red_heart , positive love,0
104, මාර ලස්සනයිsmiling_cat_with_hearteyes cherry_blossom growing_heart cherry_blossom, positive joy,4
105,ඒකනම් නියමයි පට්ට ජය වේවා      heart_suit  heart_suit  thumbs_up, positive joy,4
106,අම්මේ වචන නෑ තවත්new_moon_face sparkling_heart, positive joy,4
107,ආසම දෙන්නෙක් green_heart, positive love,0
108,මේක මාර ලස්සනයි නේ smiling_face_with_hearteyes fire, positive joy,4
109,ලිරික්ස් ටිකත් දාන්නකො පින් කමෙන්ට් එකක් eyes two_hearts dizzy person_getting_massage, neutral joy,5
110,ඒක මරැ ජයවේවා red_heart, positive love,0
111,එනකන් බලාගෙනම ඉදපු සින්දුවක් pleading_face red_heart , neutral love,2
112,මම තාම තරු ගාව ඇස් හොයනවා අක්කියෝ සුපිරියක්black_heart, positive love,0
113,පට්ට red_heart, positive love,0
114,ගායනා කෝ unamused_face, negative sad,3
115,මම කාම තරු ගාව ඇස් හොයනවා   face_blowing_a_kiss, neutral love,2
116,සුපිරි  red_heart  fire loveyou_gesture, positive joy,4
117,මේක එනකන් බලන් හිටිය අය මේ කොනට smiling_face_with_hearteyes, neutral love,2
118,ඒක නම් පට්ට red_heart  fire, positive joy,4
119,ලස්සනයි white_heart, positive love,0
120,එයා ආවා eyes sparkles, neutral joy,5
121,මහන්සි වෙලා කරපු වැඩක් ලස්සනට බලද්දි හිතට දැනෙන සතුට smiling_face_with_hearts, positive love,0
122,අඩෝ අඩෝ ඒක relieved_face red_heart  ud fire, positive joy,4
123,මට කියන්නකො කවුරු හරි වීඩීයෝ එකක් අඩු විව්ස් ගානක් අරන් කොහොමද ට්රෙන්ඩින් වෙන්නෙමට ඒක තෙරුම් ගන්න බැයූටුබ් ගැන එච්චර දන්නෙ නැ මන් දන්න කෙනෙක් කියන්නකොud    face_with_rolling_eyes broken_heart  , neutral sad,1
124,අමුතූම හැගීමක් එනවා මේක අහද්දී එ හැගීම කියාගන්න තේරෙන්නේ නෑsmiling_face_with_hearteyes purple_heart , neutral love,2
125,පිස්සුවක්  ලස්සන වචන ටිකred_heart  red_heart  red_heart  oncoming_fist  , positive joy,4
126,ඒ සින්දුව pleading_face growing_heart, neutral love,2
127,සින්දුව එනකන් මඟ බලන් හිටියේ red_heart  red_heart , neutral love,2
128,මේක වෙනස්ම රහක් තියෙන සින්දුවක්u  two_hearts thumbs_up, neutral joy,5
129,මේ සින්දුව අනිවා අනිවා සුපර් හිට් එකක් වෙනවාමයි     red_heart  thumbs_up, positive joy,4
130,පට්ට අක්කේ smiling_face_with_hearteyes _hand red_heart, positive joy,4
131,භාවනාවක් heart_suit , positive love,0
132,ආලාඅඩව්වට පස්සෙ මෙක සුපිරියක් එ වගේම මෙ ගයානාගෙ ගායනය පට්ට  ජයවේවා නුවර සෙට් එකටම red_heart red_heart red_heart, positive love,0
133,මාරම ලස්සනයි person_getting_massage red_heart  pleading_face dizzy, positive joy,4
134,වෙනස්ම ලස්සනක්red_heart, positive love,0
135,මම තාම තරු ගාව ඇස් හොයනවා red_heart , neutral love,2
136,වචන ටිකනම් සුපිරිම සුපිරි smiling_face_with_hearteyes, positive love,0
137,ඒ වොයිස් නම් ෆට්ටsmiling_face_with_hearts smiling_face_with_hearts, positive love,0
138,පට්ටම පට්ටred_heart, positive love,0
139,සුපිරි red_heart , positive love,0
140,දවසක් දෙකක් ඉවසන්න මේක උඩටම එනවා  red_heart  victory_hand , neutral joy,5
141,ඒකනම් පිස්සුවක්smiling_face_with_hearts, positive joy,4
142,මොනා කියන්නද කියලා හිතා ගන්න බැ  වෙලාවක් හම්බෙන හැම වෙලෙකම අහන්නෙ මෙ සින්දුව pleading_face pleading_face pleading_face, neutral joy,5
143,වෙලාව රෑයි පොඩි වැස්සකුත් වැටෙන වෙලාවකියල වැඩක් නෑ මේ හැඟීම         pleading_face sparkles , neutral joy,5
144,මම තාම තරැ ගාව ඇස් හොයනවානිදිවාගේ හිටියාට එලිවෙන තුරුම ඇස් තෙමුනා purple_heart  dizzy black_heart, neutral love,2
145,කවුද අනෙ මෙ සින්දුව කියල ගැන් ලමයාheart_suit  hot_face, neutral joy,5
146,ඒ වොයිස් එක _hand face_with_rolling_eyes red_heart  fire, neutral joy,5
147,නිදි වාගෙ හිටියාට එලිවෙන තුරුම ඇස් තෙමුවාpleading_face, neutral sad,1
148,වොයිස් එක නම් පට්ට pleading_face black_heart sparkles, neutral joy,5
149,හෙඩ් සෙට් එක ගහගෙනපොඩි වැස්සක් වැටෙන හවස් වෙලාවක මේ වීඩියෝ එක බල බල සෝන්ග් එක අහද්දි එන චිල් එක වෙනම එකක්   red_heart , positive love,0
150,ශලිනි  ගායනා heart_suit  heart_suit  heart_suit , neutral love,2
151,පට්ට red_heart , positive love,0
152,ඒකනම් සුපිරියක් crying_face, positive love,0
153,පහරක් revolving_hearts heart_exclamation , positive joy,4
154,එනකන් බලන් හිටපු වැඩක් ජය වේවා    red_heart fire, positive joy,4
155,එනකන් බලන් ඉදියෙsmiling_face_with_hearteyes red_heart , neutral joy,5
156,මේක  සුපිරියක් fire red_heart  , positive joy,4
157,වශියක් තමා ඉතින් hot_face sparkling_heart tanabata_tree, neutral joy,5
158,මෙච්චර කාලයක් මේක එනකල්  බලන් හිටිය මම  heart_suit  smiling_face_with_hearteyes, neutral joy,5
159,නිදිවාගේ හිටියාට එලිවෙන තුරුම ඇස් තෙමුවා heart_suit , neutral love,2
160,නියමයි red_heart , positive love,0
161,එකත් වෙනම එකක් වගෙ smiling_face_with_hearteyes, neutral love,2
162,ඒක සුපිරි fire, positive joy,4
163,ඒ හඩ නම් භාවනාවක් smiling_face_with_smiling_eyes red_heart , positive love,0
164,ජයවේවා කට්ටියටම red_heart, positive love,0
165,මම තාම තරු ගාව ඇස් හොයනවා  ලස්සනයිgrowing_heart, positive love,0
166,ලස්සනයී heart_suit  thumbs_up, positive joy,4
167,වෙනස්ම ලස්සනක් smiling_face_with_hearteyes red_heart  rose, positive joy,4
168,තව පුලුවන් ඉසුරු මේක තමා පටන් ගැන්ම කියලා  හිතාගනින් මම ඉන්නවා ඕන දේකට red_heart  folded_hands, neutral joy,5
169,ලස්සන ගීතයක් _hand fire sparkling_heart, positive joy,4
170,ලස්සනයි smiling_face_with_hearteyes red_heart , positive love,0
171,ඒකනම් භාවනාවක්   black_heart raised_fist sparkles  hundred_points, positive joy,4
172,ගැම්මක් ඕයි ඒකblack_heart smiling_face_with_hearts, positive joy,4
173,ඔයිට වඩා හොදයි ගෙදදෙට්ට වෙලා රචනාවක් ලිහාන්    face_with_tears_of_joy, neutral sarcasm,6
174,හොද තෙරිමක් මව හොස් පිටල් දන්න අයියොface_with_tears_of_joy thumbs_up face_with_tears_of_joy face_with_tears_of_joy, neutral sarcasm,6
175,සුපිරියක් අයියෙ සින්දුව fire fire _hand smiling_face_with_hearteyes, positive joy,4
176,විනිලා නිසා ආපු උන් කො face_with_tears_of_joy, neutral sarcasm,6
177,මේ සින්දුව අහල දෑස පලාගෙන කඳුලැලි ආවෙ නැත්තම් උබ තිරිසනෙක් මචන්face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy, neutral sarcasm,6
178,සුප්පාගෙ ආතල් වීඩියෝ එක බලලා ආආවේ මේrolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing, neutral sarcasm,6
179,දෑස පලාගෙන නෙමේ ඇස් දෙක ගැලවිලා වැටෙන්න වගේ දුක වැඩි කමට weary_face broken_heart face_with_tears_of_joy, neutral sarcasm,6
180,ගැම්මක් තමා අයියා  යොහානි කැලෙනෙ  මෙව්වනෙ සිංදු face_with_tears_of_joy face_with_tears_of_joy smiling_face_with_sunglasses, neutral sarcasm,6
181,මේවනේ යකො සින්ඳුred_heart  ud fire, neutral joy,5
182,ලන්කාවෙ වැක්සින් එකේ අවුලක්වත් ද  මට හිනාව නතර කරගන්න බෑනේ thinking_face thinking_face rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing, neutral sarcasm,6
183,අපෙ සීයා කෙනෙක්ගෙ බඩ වෙලලා බොක යන්නෙ නැති ලෙඩක් තිබ්බාමේ සින්දුව අහන්න දුන්නා එක දිගට දවස් ගානක් බොක ගියා   victory_hand  full_moon_face face_with_tears_of_joy, neutral sarcasm,6
184,කරන්න වැඩ නැත්තම් නිකන් ඉදාම් හුත්තො මොන හුයන්නක්ද මේ ගූ හතයිඇස් දෙක නෙමේ ලග පාතක ඉදියනම් කන පලන්න හිතෙනව මෝඩ පකයpile_of_poo pile_of_poo face_with_steam_from_nose, negative sarcasm,7
185,පැල් කවියක්ද බන් මේ තන්ඩලේ දෙන්නා දෙපොලේ වගේ face_with_tears_of_joy face_with_tears_of_joy, neutral sarcasm,6
186,ලස්සනයි red_heart  red_heart , positive love,0
187,වාව් පුදුම ලස්සනක් මේක නම් මන් ගෙදර හැමෝටම පෙන්නුව එයලත් බලල සතුටු උනා ගමේ හැමෝටමත් පෙන්නුව relieved_face, positive love,0
188,යකෝ මොන ලබ්බක්ද මේ face_with_tears_of_joy broken_heart, negative sarcasm,7
189, ත් බලන අය කෝ    smirking_face, neutral joy,5
190,අම්මෝ යකෝ පට්ට අයියා ඉස්සරහට තව සින්දු ඔනේ ජය වේවා cat_with_tears_of_joy thumbs_up, positive joy,4
191,උගෙ අප්පගෙ සින්දුනෙ මෙව්ව පුප පලාගෙන බොක ගියාාාාාrolling_on_the_floor_laughing rolling_on_the_floor_laughing, neutral sarcasm,6
192,මේක මගේ රිගින් ටෝන් එක face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy, neutral sarcasm,6
193, කවුද ඕයි මේ රචනා ලියලා සින්දු වලට හරවන එකා thinking_face face_with_raised_eyebrow nauseated_face face_vomiting pouting_face thinking_face face_with_raised_eyebrow nauseated_face face_vomiting pouting_face, negative sarcasm,7
194,අතවහගෙන ඉන්න හෙතුව මේ වීඩියෝ එකෙන් දැනගත්ත අය තවත් සීටීද face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy, neutral sarcasm,6
195,මොනවද මේ face_with_tears_of_joy grinning_face_with_sweat, neutral sarcasm,6
