pure_comments,sinhala_texts,pure_unicodes,unique_emojis,polarity_emotions,polarity,emotion,polarity_ID,emotions_ID
රූප රචනාව හරිම ලස්සනයි  ශබ්ද රසය නියමයි  පද රචනාව සුන්දරයි  ඔක්කොම පට්ට smiling_face_with_hearteyes _hand smiling_face_with_halo smiling_face_with_sunglasses,රූප රචනාව හරිම ලස්සනයි  ශබ්ද රසය නියමයි  පද රචනාව සුන්දරයි  ඔක්කොම පට්ට    ,smiling_face_with_hearteyes _hand smiling_face_with_halo smiling_face_with_sunglasses,smiling_face_with_hearteyes _hand smiling_face_with_sunglasses smiling_face_with_halo, positive joy,positive,joy,0,2
මගේ ආදරේත් හම්බවුනේ මෙ පින් පිමෙන්දැන් අපේ ආදරේට අවුරැදු  ක්   smiling_face_with_hearteyes face_blowing_a_kiss,මගේ ආදරේත් හම්බවුනේ මෙ පින් පිමෙන්දැන් අපේ ආදරේට අවුරැදු  ක්    ,   smiling_face_with_hearteyes face_blowing_a_kiss, smiling_face_with_hearteyes face_blowing_a_kiss, neutral love,neutral,love,1,0
මන් මේ සිංදුව දාපු කාලේ ඉඳලම අද වෙනකන් අහන කෙනෙක් ඊයේ පෙරේදා දවස් දෙකේ මායි මගෙ යාලුවෝ කීප දෙනෙකුයි සිරිපා කරුණාවට වෙන් කළාමම කෝඩුකාරයෙක්ඒ වෙලාවෙත් මට මේ සිංදුව මතක් උනාඅද නිවාඩුවේ ගෙදර ඉන්න ගමන් මන් ආයේ මේක බලන්න ආවා කියාගන්න වචන නෑඅර මාස ගානක් තිස්සේ බලපු දේ සම්පූර්ණ තේරුම තේරුණේ දැන් තමා මට  කියාගන්න වචන නෑ දැන් නන්  මේ සිංදුව බලන හැම වෙලේකම මගෙ අත්දැකීම අලුත් වේවි මතක් වෙවී               smiling_face_with_smiling_eyes  red_heart  ,මන් මේ සිංදුව දාපු කාලේ ඉඳලම අද වෙනකන් අහන කෙනෙක් ඊයේ පෙරේදා දවස් දෙකේ මායි මගෙ යාලුවෝ කීප දෙනෙකුයි සිරිපා කරුණාවට වෙන් කළාමම කෝඩුකාරයෙක්ඒ වෙලාවෙත් මට මේ සිංදුව මතක් උනාඅද නිවාඩුවේ ගෙදර ඉන්න ගමන් මන් ආයේ මේක බලන්න ආවා කියාගන්න වචන නෑඅර මාස ගානක් තිස්සේ බලපු දේ සම්පූර්ණ තේරුම තේරුණේ දැන් තමා මට  කියාගන්න වචන නෑ දැන් නන්  මේ සිංදුව බලන හැම වෙලේකම මගෙ අත්දැකීම අලුත් වේවි මතක් වෙවී                   ,               smiling_face_with_smiling_eyes  red_heart  , smiling_face_with_smiling_eyes red_heart, neutral joy,neutral,joy,1,2
රැවුල නැති කාලේ beaming_face_with_smiling_eyes,රැවුල නැති කාලේ ,beaming_face_with_smiling_eyes,beaming_face_with_smiling_eyes, neutral sarcasm,neutral,sarcasm,1,3
හෙනම කට්ටක් කාල කරල තියෙන්නෙ වැඩේrelieved_face relieved_face raised_back_of_hand,හෙනම කට්ටක් කාල කරල තියෙන්නෙ වැඩේ  ,relieved_face relieved_face raised_back_of_hand,raised_back_of_hand relieved_face, neutral sad,neutral,sad,1,1
ඇයි ගොනෝ නම්බර් එක නොදුන්නේ මට උඹෙන් වගේම මගෙනුත් අහගන්න තියෙන එකම ප්රශ්නෙ    pensive_face ud pensive_face broken_heart,ඇයි ගොනෝ නම්බර් එක නොදුන්නේ මට උඹෙන් වගේම මගෙනුත් අහගන්න තියෙන එකම ප්රශ්නෙ       ,   pensive_face ud pensive_face broken_heart, broken_heart pensive_face ud, negative sad,negative,sad,2,1
සිරීපාදෙත් කරුණා කරල නම්බරෙත් නොදී මෙහෙම බැහැපුවාම තමයි ආදරේ තියෙන්නෙ මචං ඒ මතකය කවදාවත්ම අමතක නොවී තියේවි හැබැයි මේ දෙන්න නම්බරයක් හරි දීල දිගටම මේ සම්බන්ධෙ තිබ්බනම් සමහරවිට මෙතන තිබුන සුන්දර ආදරේ පස්සෙ නැති වේවි හිමිවීමම නෙමෙයි බං ආදරේ කියන්නෙ නියම ආදරේ තිබුනෙ හිමි නොවිච්ච තැන්වල         purple_heart  purple_heart ,සිරීපාදෙත් කරුණා කරල නම්බරෙත් නොදී මෙහෙම බැහැපුවාම තමයි ආදරේ තියෙන්නෙ මචං ඒ මතකය කවදාවත්ම අමතක නොවී තියේවි හැබැයි මේ දෙන්න නම්බරයක් හරි දීල දිගටම මේ සම්බන්ධෙ තිබ්බනම් සමහරවිට මෙතන තිබුන සුන්දර ආදරේ පස්සෙ නැති වේවි හිමිවීමම නෙමෙයි බං ආදරේ කියන්නෙ නියම ආදරේ තිබුනෙ හිමි නොවිච්ච තැන්වල            ,        purple_heart  purple_heart , purple_heart, neutral love,neutral,love,1,0
අනේ ගොඩාක් හිතට වැදුනා සින්දුව ඒ වගේම වීඩියෝ එක ගොඩාක් දුකයි ඒ දෙන්නා එකතු උනා නම් කොච්චර ලස්සනද      red_heart,අනේ ගොඩාක් හිතට වැදුනා සින්දුව ඒ වගේම වීඩියෝ එක ගොඩාක් දුකයි ඒ දෙන්නා එකතු උනා නම් කොච්චර ලස්සනද      ,      red_heart, red_heart, neutral love,neutral,love,1,0
 ඔබව සබ්ක්රයිබ් කලා මාවත් සබ්ක්රයිබ් කරන්නthumbs_up thumbs_up ud ud, ඔබව සබ්ක්රයිබ් කලා මාවත් සබ්ක්රයිබ් කරන්න   ,thumbs_up thumbs_up ud ud,ud thumbs_up, neutral joy,neutral,joy,1,2
එදා  ඒක ලස්සනම ලස්සන මතකයක් සින්දුව  seenoevil_monkey smiling_face_with_hearteyes two_hearts     fire,එදා  ඒක ලස්සනම ලස්සන මතකයක් සින්දුව         ,  seenoevil_monkey smiling_face_with_hearteyes two_hearts     fire, seenoevil_monkey smiling_face_with_hearteyes fire two_hearts, positive joy,positive,joy,0,2
වෙනම ලෝකයකට යනවා මේක අහද්දී   කටහඬත් ඒ වගේ මාර හැඟීම් ගොඩක් එක පාර දෙන්න පුලුවන්දවසට එකපාරක් හරි අහනවමයි  ආයේ ආයේ අහන්න හිතෙනවාsmiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes  red_heart ,වෙනම ලෝකයකට යනවා මේක අහද්දී   කටහඬත් ඒ වගේ මාර හැඟීම් ගොඩක් එක පාර දෙන්න පුලුවන්දවසට එකපාරක් හරි අහනවමයි  ආයේ ආයේ අහන්න හිතෙනවා     ,smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes  red_heart , smiling_face_with_hearteyes red_heart, neutral love,neutral,love,1,0
මගෙ හිත ඔය කෙස් කළඹේ පැටලීලාred_heart ,මගෙ හිත ඔය කෙස් කළඹේ පැටලීලා ,red_heart , red_heart, neutral love,neutral,love,1,0
මේ මාගේ කතාව දැයි සැකයක් මතු උනාgrimacing_face grimacing_face,මේ මාගේ කතාව දැයි සැකයක් මතු උනා ,grimacing_face grimacing_face,grimacing_face, neutral sad,neutral,sad,1,1
හිතට දැනුන සින්දුවක් බන්   smiling_face_with_hearteyes,හිතට දැනුන සින්දුවක් බන්   ,   smiling_face_with_hearteyes, smiling_face_with_hearteyes, neutral love,neutral,love,1,0
සිරීපාදෙ ගියපු ගොඩක් අයට අමතක කරන්න බැරි මේ අත්දැකීම ඇතිslightly_smiling_face red_heart ,සිරීපාදෙ ගියපු ගොඩක් අයට අමතක කරන්න බැරි මේ අත්දැකීම ඇති  ,slightly_smiling_face red_heart , slightly_smiling_face red_heart, neutral joy,neutral,joy,1,2
නියමය්    smiling_face_with_hearteyes _hand,නියමය්     ,  smiling_face_with_hearteyes _hand, smiling_face_with_hearteyes _hand, positive joy,positive,joy,0,2
පැහැදිලි වොයිස් එකක්  ලස්සන නිර්මාණයක්  වීඩියෝ එකත් ගති  සෝක්            smiling_face_with_hearteyes,පැහැදිලි වොයිස් එකක්  ලස්සන නිර්මාණයක්  වීඩියෝ එකත් ගති  සෝක්            ,           smiling_face_with_hearteyes, smiling_face_with_hearteyes, positive joy,positive,joy,0,2
අවුරුදු ක් තිස්සේ තාමත් අහනවා pleading_face red_heart fire,අවුරුදු ක් තිස්සේ තාමත් අහනවා   , pleading_face red_heart fire, fire pleading_face red_heart, neutral love,neutral,love,1,0
එයා දැන් කොහේ ඇතිද red_heart,එයා දැන් කොහේ ඇතිද ,red_heart,red_heart, neutral love,neutral,love,1,0
අම්මෝ මේ සින්දුවෙ ලස්සන   smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes two_hearts,අම්මෝ මේ සින්දුවෙ ලස්සන      ,  smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes two_hearts, smiling_face_with_hearteyes two_hearts, positive love,positive,love,0,0
අදටත් හොයනව කවුද ඒ කියල ටෝ එකක් විතරමයි තියෙන්නෙ ඒකත් ක්ලිය නැති එකක්     sad_but_relieved_face sad_but_relieved_face,අදටත් හොයනව කවුද ඒ කියල ටෝ එකක් විතරමයි තියෙන්නෙ ඒකත් ක්ලිය නැති එකක්      ,    sad_but_relieved_face sad_but_relieved_face, sad_but_relieved_face, neutral sad,neutral,sad,1,1
මගේ හිත මේ සිංදුවේ නැවතීලා යලි ලිහාගන්න බැරුවා heart_suit heart_suit,මගේ හිත මේ සිංදුවේ නැවතීලා යලි ලිහාගන්න බැරුවා  ,heart_suit heart_suit,heart_suit, neutral love,neutral,love,1,0
ශ්රී පාදය වන්දනා කරන්න ගියාම ඔය අත්දැකීම් අනිවාර්යයෙන්ම හම්බෙනවud beaming_face_with_smiling_eyes,ශ්රී පාදය වන්දනා කරන්න ගියාම ඔය අත්දැකීම් අනිවාර්යයෙන්ම හම්බෙනව ,ud beaming_face_with_smiling_eyes,beaming_face_with_smiling_eyes ud, neutral joy,neutral,joy,1,2
 පාරක් දැනට සීරීපාදේ කරුනා කලා මං කෙල්ලෙක් දිහා බැලුවොත් මිසක් කෙල්ලෙක් මං දිහා ඇහැක් ඇරලා බැලුවේ නෑ දෙයියනේ ඉස්සරහටවත් බලමුකෝ face_with_rolling_eyes neutral_face, පාරක් දැනට සීරීපාදේ කරුනා කලා මං කෙල්ලෙක් දිහා බැලුවොත් මිසක් කෙල්ලෙක් මං දිහා ඇහැක් ඇරලා බැලුවේ නෑ දෙයියනේ ඉස්සරහටවත් බලමුකෝ  , face_with_rolling_eyes neutral_face, face_with_rolling_eyes neutral_face, neutral sad,neutral,sad,1,1
සැබෑ වෙනසක් බ්රෝ ud face_blowing_a_kiss face_blowing_a_kiss,සැබෑ වෙනසක් බ්රෝ   ,ud face_blowing_a_kiss face_blowing_a_kiss,face_blowing_a_kiss ud, neutral love,neutral,love,1,0
ගොඩක්  ලස්සන  සිංදුවක් sparkling_heart sparkling_heart,ගොඩක්  ලස්සන  සිංදුවක්  ,sparkling_heart sparkling_heart,sparkling_heart, positive joy,positive,joy,0,2
මාරම සිදුවීමක් මෙය කලාතුරකින් දක්නට ලැබෙන ආදරණීය වීඩියෝවක්  smiling_face_with_hearteyes,මාරම සිදුවීමක් මෙය කලාතුරකින් දක්නට ලැබෙන ආදරණීය වීඩියෝවක්  ,  smiling_face_with_hearteyes, smiling_face_with_hearteyes, positive joy,positive,joy,0,2
මතක් උනා ඒ දවස  ඒත් පට්ටම  දුකයි  crying_face,මතක් උනා ඒ දවස  ඒත් පට්ටම  දුකයි  ,  crying_face, crying_face, neutral sad,neutral,sad,1,1
මේ වගේ ස්ථාන වල තමයි සිංදුවකට උනත් විශුවල් එකක් කරන්න ඕනෙ මොකද කියනවනම් නියම සංගීත රසයක් තියෙන ලෝකෙ වටේම ඉන්න මිනිස්සු මේක බැලුවම මේ ස්ථානය ගැන හොයන්න ගන්නවා එක්පාරක් සිරීපාදෙ ගිහින් තියෙන කෙනෙක්ට උනත් ආයෙම යන්න ආස හිතෙනවා මේ අත්දැකීම විඳපු අය කොච්චර නම් ඇතිද  මාර ලස්සන සිංදුවක් මේක ඇස් දෙක වහගෙන ඇහුවොත් මැවෙන්නෙ වෙනම විශුවල් එකක්    red_heart   ,මේ වගේ ස්ථාන වල තමයි සිංදුවකට උනත් විශුවල් එකක් කරන්න ඕනෙ මොකද කියනවනම් නියම සංගීත රසයක් තියෙන ලෝකෙ වටේම ඉන්න මිනිස්සු මේක බැලුවම මේ ස්ථානය ගැන හොයන්න ගන්නවා එක්පාරක් සිරීපාදෙ ගිහින් තියෙන කෙනෙක්ට උනත් ආයෙම යන්න ආස හිතෙනවා මේ අත්දැකීම විඳපු අය කොච්චර නම් ඇතිද  මාර ලස්සන සිංදුවක් මේක ඇස් දෙක වහගෙන ඇහුවොත් මැවෙන්නෙ වෙනම විශුවල් එකක්       ,    red_heart   , red_heart, neutral love,neutral,love,1,0
තාමත් එ මතකයට ආදරෙයි smiling_face_with_hearts,තාමත් එ මතකයට ආදරෙයි ,smiling_face_with_hearts,smiling_face_with_hearts, positive love,positive,love,0,0
කොල්ටී වැඩේ  face_savoring_food smiling_face_with_sunglasses,කොල්ටී වැඩේ   ,  face_savoring_food smiling_face_with_sunglasses, face_savoring_food smiling_face_with_sunglasses, positive love,positive,love,0,0
අම්ම්මෝ හාට් එක තාමත් ඩඩ් ඩඩ් ගානවා ඒ දවස අමතක වෙන්නේ නෑ වැටෙන්න ගිය හැටි එයා මාව අල්ලගත්තු  හැටි ඊට පස්සේ අර අවසානම තේ බොන තැන තුරුල් උන හැටි ඊට පස්සේ වදින තැන ඊට  පස්සේ ඌ ගිය ගියා මයි අද වෙනකම් දැක්කේ නෑ ඒත් ඒ දවස ශ්රී පාදය කියද්දිනුත් ඇග සීතල වෙනවාud bouquet,අම්ම්මෝ හාට් එක තාමත් ඩඩ් ඩඩ් ගානවා ඒ දවස අමතක වෙන්නේ නෑ වැටෙන්න ගිය හැටි එයා මාව අල්ලගත්තු  හැටි ඊට පස්සේ අර අවසානම තේ බොන තැන තුරුල් උන හැටි ඊට පස්සේ වදින තැන ඊට  පස්සේ ඌ ගිය ගියා මයි අද වෙනකම් දැක්කේ නෑ ඒත් ඒ දවස ශ්රී පාදය කියද්දිනුත් ඇග සීතල වෙනවා ,ud bouquet,bouquet ud, neutral joy,neutral,joy,1,2
සිරීපාදෙ වන්දනා කරපු හැම කොල්ලෙක්ටම ඔහොම අත්දැකීමක් තියෙනවා අනිවා   red_heart _hand smiling_face_with_hearteyes,සිරීපාදෙ වන්දනා කරපු හැම කොල්ලෙක්ටම ඔහොම අත්දැකීමක් තියෙනවා අනිවා     ,  red_heart _hand smiling_face_with_hearteyes, smiling_face_with_hearteyes _hand red_heart, neutral joy,neutral,joy,1,2
මගෙ හිත ඔය කෙස් කලඹේ පැටලීලා balloon balloon thumbs_up thumbs_up,මගෙ හිත ඔය කෙස් කලඹේ පැටලීලා    ,balloon balloon thumbs_up thumbs_up,balloon thumbs_up, neutral joy,neutral,joy,1,2
මහගිරිදඹේ පාමුල දන්සලෙන් මා එක්ක බත් කාපු ඒ ලස්සන හදවත අද මගෙ අනාගතේ        beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes smiling_face_with_sunglasses red_heart,මහගිරිදඹේ පාමුල දන්සලෙන් මා එක්ක බත් කාපු ඒ ලස්සන හදවත අද මගෙ අනාගතේ            ,      beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes smiling_face_with_sunglasses red_heart, smiling_face_with_sunglasses beaming_face_with_smiling_eyes red_heart, neutral joy,neutral,joy,1,2
කියන්ඩ වචන නෑperson_getting_massage light_skin_tone ud male_sign ,කියන්ඩ වචන නෑ    ,person_getting_massage light_skin_tone ud male_sign , male_sign light_skin_tone ud person_getting_massage, positive joy,positive,joy,0,2
ඇයි බූතයෝ නම්බර් එක දුන් නැත්තේ බලපම්sad_but_relieved_face sad_but_relieved_face,ඇයි බූතයෝ නම්බර් එක දුන් නැත්තේ බලපම් ,sad_but_relieved_face sad_but_relieved_face,sad_but_relieved_face, negative sad,negative,sad,2,1
කාලෙකින් ආපහු අහන්න ගත්තා _hand _hand _hand _hand,කාලෙකින් ආපහු අහන්න ගත්තා    ,_hand _hand _hand _hand,_hand, neutral joy,neutral,joy,1,2
සැබැ ආදරෙ හමූවීමත් එ වගෙ ලස්සන විදියකට ලැබුනිත්සුපිරි මචං වචන නැ   flexed_biceps flexed_biceps smiling_face_with_hearteyes,සැබැ ආදරෙ හමූවීමත් එ වගෙ ලස්සන විදියකට ලැබුනිත්සුපිරි මචං වචන නැ     ,  flexed_biceps flexed_biceps smiling_face_with_hearteyes, flexed_biceps smiling_face_with_hearteyes, positive joy,positive,joy,0,2
නාද ගමෙන් සිංදුව ඇහුවට පස්සේ ආයේ අහන්නේ සිරිපා ගිහින් මෙහෙම අත්දැකීමක් නෑ හැබැයි වෙන තැනක මේ හා සමාන අත්දැකීමක් තියෙනවා ඉතින් රසවිඳින්න අව්ලක් නෑ   relieved_face,නාද ගමෙන් සිංදුව ඇහුවට පස්සේ ආයේ අහන්නේ සිරිපා ගිහින් මෙහෙම අත්දැකීමක් නෑ හැබැයි වෙන තැනක මේ හා සමාන අත්දැකීමක් තියෙනවා ඉතින් රසවිඳින්න අව්ලක් නෑ   ,  relieved_face, relieved_face, neutral joy,neutral,joy,1,2
සිරීපාදෙදි මන් කෙනෙක්ව ප්රාර්ථනා කලාහම්බුනා ud  upsidedown_face,සිරීපාදෙදි මන් කෙනෙක්ව ප්රාර්ථනා කලාහම්බුනා   ,ud  upsidedown_face, upsidedown_face ud, neutral joy,neutral,joy,1,2
